cig;data_pubblicazione;importo_lotto;flag_quote_deroga;quota_femminile;quota_giovani;cod_mot_deroga;motivo_deroga;flag_misure_premiali;codice_mis_prem;misura_premiale
A01E63D27E;2024-01-03;1358265.6;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A01E63D27E;2024-01-03;1358265.6;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A01E63D27E;2024-01-03;1358265.6;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A01E63D27E;2024-01-03;1358265.6;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A020A1EE2E;2024-01-03;1307891.33;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A020A1EE2E;2024-01-03;1307891.33;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A020A1EE2E;2024-01-03;1307891.33;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A020A1EE2E;2024-01-03;1307891.33;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A020A1EE2E;2024-01-03;1307891.33;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A020A1EE2E;2024-01-03;1307891.33;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A03757DB31;2024-01-03;343099.23;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03757DB31;2024-01-03;343099.23;S;;;;;[];12;ALTRO CRITERIO PER LU2019INCLUSIONE DEI LAVORATORI DISABILI
A0375DB8C4;2024-01-03;42841.51;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A0375DB8C4;2024-01-03;42841.51;S;;;;;[];12;ALTRO CRITERIO PER LU2019INCLUSIONE DEI LAVORATORI DISABILI
A03763EA76;2024-01-03;102031.07;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03763EA76;2024-01-03;102031.07;S;;;;;[];12;ALTRO CRITERIO PER LU2019INCLUSIONE DEI LAVORATORI DISABILI
A03B8CE851;2024-01-03;183582.75;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03B8CE851;2024-01-03;183582.75;S;;;;;[];12;ALTRO CRITERIO PER LU2019INCLUSIONE DEI LAVORATORI DISABILI
A03B8DC3E0;2024-01-03;39115.7;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03B8DC3E0;2024-01-03;39115.7;S;;;;;[];12;ALTRO CRITERIO PER LU2019INCLUSIONE DEI LAVORATORI DISABILI
A02625C00E;2024-01-04;2438863.75;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A02625C00E;2024-01-04;2438863.75;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A02625C00E;2024-01-04;2438863.75;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A02625C00E;2024-01-04;2438863.75;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A02625C00E;2024-01-04;2438863.75;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A02625C00E;2024-01-04;2438863.75;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A0476910FC;2024-01-04;21559.74;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A0476910FC;2024-01-04;21559.74;S;;;;;[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A02E9F66F2;2024-01-05;1881449.83;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A02E9F66F2;2024-01-05;1881449.83;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A02E9F66F2;2024-01-05;1881449.83;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A02E9F66F2;2024-01-05;1881449.83;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A02E9F66F2;2024-01-05;1881449.83;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A02E9F66F2;2024-01-05;1881449.83;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A039562D29;2024-01-05;9893270.29;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A039562D29;2024-01-05;9893270.29;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A039562D29;2024-01-05;9893270.29;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A039562D29;2024-01-05;9893270.29;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A039562D29;2024-01-05;9893270.29;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A039562D29;2024-01-05;9893270.29;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A03C34B00F;2024-01-05;4632874.4;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A03C34B00F;2024-01-05;4632874.4;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03C34B00F;2024-01-05;4632874.4;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03C34B00F;2024-01-05;4632874.4;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A03C34B00F;2024-01-05;4632874.4;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A03C34B00F;2024-01-05;4632874.4;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A03CF52CEA;2024-01-05;7770926.07;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A03CF52CEA;2024-01-05;7770926.07;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03CF52CEA;2024-01-05;7770926.07;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A03CF52CEA;2024-01-05;7770926.07;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A03CF52CEA;2024-01-05;7770926.07;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A03CF52CEA;2024-01-05;7770926.07;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A047A35218;2024-01-05;205088.3;S;;;;;[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
